T02,"Population, density and surface area",,,,,
876,Wallis and Futuna Islands,2020,Population aged 0 to 14 years old (percentage),24.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Population aged 60+ years old (percentage),17.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Population density,83.2,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2020,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
876,Wallis and Futuna Islands,2022,Population mid-year estimates (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population mid-year estimates for males (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population mid-year estimates for females (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Sex ratio (males per 100 females),92.2,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population aged 0 to 14 years old (percentage),22.7,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population aged 60+ years old (percentage),19.1,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
876,Wallis and Futuna Islands,2022,Population density,82.7,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2010,Population mid-year estimates (millions),0.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2010,Population mid-year estimates for males (millions),0.23,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2010,Population mid-year estimates for females (millions),0.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2010,Sex ratio (males per 100 females),120.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
732,Western Sahara,2010,Population aged 0 to 14 years old (percentage),27.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
732,Western Sahara,2010,Population aged 60+ years old (percentage),6.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
732,Western Sahara,2010,Population density,1.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2015,Population mid-year estimates (millions),0.49,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2015,Population mid-year estimates for males (millions),0.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2015,Population mid-year estimates for females (millions),0.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
732,Western Sahara,2015,Sex ratio (males per 100 females),122.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
